City,Graduation Date,Work Experience 1,Work Experience 2,Work Experience 3,Skills,Athletics,Awards/Certifications,Extracurriculars 1,Extracurriculars 2,Volunteer Work,Member Groups
Philadelphia,19-May,"Ads and Analytics Intern
Social Media Marketing Firm -  Philadelphia, PA
January 2019 to Present
• Place ads using Facebook Business Manger based on the specifications set by the client, monitor how the ads are performing and making sure the client's money is being spent with the best results  
• Create monthly/bi-monthly reports for clients based on how their ads are performing for organic and paid social media posts using data from Sprout Social and Ad Manager Platforms from Facebook, Twitter, Instagram and LinkedIn  
• Build the Social Benchmark Report, which takes lifetime ad data and sets goal marks for client KPI's. This helps clients measure their success within their industry and across platforms","Analytics and Research Intern
Walnut Realty Group
September 2018 to December 2018
• Analyzed and Reports large sets of data for ChatterBlast's digital marketing using social media analytics and Google Analytics, then shared these reporting's with the company to find areas of improvement  
• Created reports based on data pulled from sprout social for clients such as 1213 Walnut Realty Group, and gave insights on how their social media platforms were performing  
• Performed research for the creative director and the strategy team, who then were able to use the research to create campaigns and strategies","Account Management Intern
Philadelphia Shopping District and The Whittle School
January 2018 to May 2018
• Coordinated with team members to schedule and maintain social media profiles reaching an audience of more than several thousand on Facebook, Twitter and Instagram  
• Collaborated with the accounts team to perform social media engagement for various clients, such as the Philly Auto Show where we were able to interact with hundreds of followers over the span of three days  
• Performed research that gained a future client, as well did research to assist the team to reach a broader audience for companies like Temple University, Philadelphia Shopping District and The Whittle School","Microsoft Word, Microsoft Excel, Microsoft PowerPoint, Microsoft Publisher, Adobe, Ableton Live, Google AdWords, Google Analytics",,,,,,
Philadelphia,19-Dec,"Stock Associate
Barneys New York -  Philadelphia, PA
July 2018 to Present
Providing support to the floor operation by ensuring merchandise is efficiently received, processed and organized within the designated stock/storage rooms.  
  
• Assist with the preparation of the semi-annual store physical inventories.  
• Process daily incoming merchandise from vendors, the distribution center, and/or any other facility.  
• Ensure transfers, markdowns and shipments are processed accurately and on a timely basis.  
• Ensure customer sends meet the appropriate standards for timeliness and packing.  
• Support a fast-paced process that aligns with the company’s operational standards.  
• Follow safety standards to ensure a safe working environment.  
• Ensures that an adequate level of supplies is on hand to meet the customer needs (bags, boxes, sales checks, etc.)  
• Keep an organized work area with careful attention to detail, meeting the company’s BOH standards.","Shipping & Receiving Associate
AMAZON
2017 to 2018
Thrived in a fast-paced environment that involved working with and around moving machinery. Packing, sorting and placing orders for shipping.  
• Ensure packages are on the line to be shipped.  
• Arrange packages numerically by tag and manually scan to be sent out.  
• Inspect bags and replace as needed to ensure accurate and quality packing information.  
• Divert packages into proper areas of placement.  
• Water Spider packages off delivery trucks into receiving area.  
• Stack pallets properly to use for next day.  
• Maintain clean and orderly work area.  
• Other duties as assigned.","Marketing Team Intern
VAUGHN CLOTHING
2017 to 2017
Provided ideas and input for up and coming clothing line to find new ways to market to a diverse group of customers.  
• Enhance the company's marketing strategies with different and unique ways of marketing.  
• Create new ideas to help the company take its products to the next level  
• Work fashion shows to help models and the company give the best performance possible.  
• Help create new clothing ideas.","Understanding of SQL, Basic Microsoft Access skills, Google AdWords and Analytics, Facebook Advertising, Adobe Creative Suite, FL Studio 20",,,,,,
Philadelphia,20-Jun,"Bridal Consultant
David's Bridal -  East Brunswick, NJ
November 2018 to April 2019
-Exceeded sales goals of $140/hour while answering customer  
questions about products, prices, and availability.  
-Worked with the team of twenty in order to complete sales  
transactions, and gave customer product recommendation  
based on product knowledge and expertise.","Sales Intern
Marchesa -  New York, NY
September 2018 to April 2019
-Edited line sheets for three seasons, monitored sales sites  
such as Nordstrom, Shopbop, and Rent the Runway for  
proper brand representation.  
-Assisted with trunk shows, prepared showroom for  
appointments, and assisted during market week (Couture &  
Notte), along with special projects such as constructing  
lookbooks.","Social Media Intern
Larissa Kate Lingerie
November 2018 to February 2019
-Created social media posts and stories, while highlighting  
special offers during the holiday season.  
-Assisted with pop-up shops, and production while creating  
influencer marketing materials using Adobe Creative Suite.","Adobe Photoshop Google Analytics, Adobe Illustrator Microsoft Excel, Adobe InDesign Videography, Adobe Premiere Pro Campaigns, Adobe Lightroom MailChimp, Canon EOS Rebel T5i Hubspot",,,,,,
Philadelphia,20-May,"Marketing Representative
Home Genius Exteriors -  Bala-Cynwyd, PA
September 2019 to December 2019","Sales Associate/Cashier/Customer Service
Metro by T-Mobile -  North Wales, PA
May 2019 to August 2019
• Identified sales opportunities and acted on leads  
• Answered product and service related questions  
• Established and maintained relationships with customers  
• Explained and negotiated contracts","Sales Associate
Pier1 Imports -  Montgomeryville, PA
May 2017 to January 2019
• Managed support to customers in all departments and helped choose styles and designs which accommodated to their preferences and tastes  
• Maintained inventory levels for ingoing and outgoing products  
• Strived to achieve hourly and daily sales goals  
• Worked Shipment Days; Unloaded, unboxed, and set products on sales floor.  
• Worked the cash wrap; Ringing up and bagging","Microsoft Word, Microsoft Excel, Microsoft PowerPoint, Microsoft Publisher, Adobe, Ableton Live, Google AdWords, Google Analytics",,,,,,
Philadelphia,20-May,"Volunteer
PSSUG
January 2019 to Present
Participant, Data Analytics Challenge, October 2018-Present","Mentor
Temple Association for Information Systems Mentorship Program
September 2018 to Present
Participant, Technical Development Workshop, Fall 2018-Present","Member
Active Member, Association for Information Systems
September 2018 to Present","Adobe Photoshop Google Analytics, Adobe Illustrator Microsoft Excel, Adobe InDesign Videography, Adobe Premiere Pro Campaigns, Adobe Lightroom MailChimp, Canon EOS Rebel T5i Hubspot",,,,,,
Philadelphia,19-May,"Photography and Videography Intern
Campus Philly -  Philadelphia, PA
June 2018 to March 2019
• Collaborate with a team of other interns to produce and create content from photoshoots  
• Record video at events and create marketing videos  
• Work on a project-by-project basis, capturing and editing photos from Campus Philly events","Public Relations Intern
The Bravo Group -  Wayne, PA
May 2018 to August 2018
• Implemented social media fundraising campaigns  
• Wrote blog posts for multiple clients about education and health  
• Attended client events to offer media coverage","Consumer Marketing Intern
USA Today -  Wilmington, DE
June 2017 to August 2017
• Assisted with identification of trending stories and promotion on social media  
• Developed new ideas to drive sales at sporting events  
• Assisted with the coordination and execution of local market events including set-up, lead generation, engagement, and breakdown","Accounting, Leadership skills, Problem-solving, Accounts Payable, Bookkeeping, Excel, Quickbooks, Time Management, Strategic thinker, Technical abilities",,,,,,
Philadelphia,19-May,"ADMINISTRATIVE COORDINATOR
CENTER FOR THE ADVANCED STUDY OF -  Philadelphia, PA
August 2019 to Present
Point person for event planning and office operations; managed expenses for Director; assisted in developing student programs including revamping the application process and marketing","CO-FOUNDER AND CO-EDITOR IN CHIEF
ONE SEASON WONDERS BLOG
July 2019 to Present
Founded blog that analyzes one season television shows; contributed 3 pieces a month; managed weekly posts and operations; managed social media and outreach","CASI STUDENT PROGRAMS ASSISTANT
CENTER FOR THE ADVANCED STUDY -  Philadelphia, PA
August 2018 to Present
Created and distributed promotional material; organized promotional events; doubled number of applicants for internship program","Adobe Photoshop Google Analytics, Adobe Illustrator Microsoft Excel, Adobe InDesign Videography, Adobe Premiere Pro Campaigns, Adobe Lightroom MailChimp, Canon EOS Rebel T5i Hubspot",,,,,,
Philadelphia,19-Aug,"Events Intern
Classic Events by Lauren -  Philadelphia, PA
August 2019 to Present
Assist coordinating wedding and events by communicating with clients to ensure all their requirements are met prior to the event, and then continued with day of on-site coordination","Marketing Intern
Marketing Mix by Michelle -  Philadelphia, PA
August 2019 to Present
• Manage client's social media accounts by creating content calendars  
• Create blogs and flyers for upcoming events  
• Conduct market research and outreach for clients","Server and Trainer
Del Frisco's Grille -  Philadelphia, PA
November 2018 to Present
• Served a high volume of customers and was entrusted with important clients and large groups  
• Generated top sales by providing education and food-pairing suggestions  
• Handled sales totaling approximately four thousand dollars daily  
• Trained and oversaw new employees on all aspects of the restaurant during their trial period  
• Provided guests with highest level of service during their dining experience  
• Anticipated guests' needs for seamless dining experience","Accounting, Leadership skills, Problem-solving, Accounts Payable, Bookkeeping, Excel, Quickbooks, Time Management, Strategic thinker, Technical abilities",,,,,,
Philadelphia,20-May,"Lead Director
Social Sorority -  Philadelphia, PA
April 2019 to Present
Coordinating all procedures leading up to and during the Out of the Darkness event in collaboration with the deans of the Haub Business School as well as I delegated tasks to chair positions of whom I appointed. Overall raising over $6,000 for our charity.","Vice President of Marketing, Executive Board Member
November 2018 to Present
• Oversee and promote sorority philanthropic events through creating advertisements, decorations, and electronic communications  
• Facilitate outreach to other organizations to collaborate on philanthropic and social events  
• Organize sorority merchandise orders","Policy Intern
Department of Banking and Securities at the Commonwealth of Pennsylvania -  Harrisburg, PA
June 2018 to Present
• Prepared financial statements reporting on Pennsylvania Industrial Development Authority, Machinery and Equipment Loan Funds, and Small Business First Programs for the Secretary  
• Attended congressional meetings to discuss regulatory and governmental practices such as cryptocurrencies, cybersecurity, and banking regulations that effectively monitor banks  
• Collaborated on Pennsylvania's Innovation Coin by researching historical data as well as attended meetings to decide the ultimate design of the coin for the U.S. Mint  
• Involved in writing and preparing white papers, authoritative reports, for the Secretary on various issues.","Accounting, Leadership skills, Problem-solving, Accounts Payable, Bookkeeping, Excel, Quickbooks, Time Management, Strategic thinker, Technical abilities",,,,,,
Philadelphia,20-May,"Secretary
Feminist Alliance, Temple University -  Philadelphia, PA
May 2019 to Present
Temple University, Wellness Resource Center -  Philadelphia, PA
January 2018 to Present
Sexual Violence Prevention Workgroup  
• Guided workgroup towards an inclusive approach when supporting students and survivors  
• Corresponded with Title XI, Campus Safety, and other student orgs to organize events for awareness weeks","Intern
Temple University, Wellness Resource Center -  Philadelphia, PA
May 2019 to August 2019
• Developed strategic lobbying skills through meetings and interactions with elected officials  
• Maintained record of legislative progress on 13 bill package addressing plastic pollution","House of Representatives, Office of Rep
Brian Sims -  Philadelphia, PA
January 2019 to May 2019
Legislative Intern  
• Directed constituents and helped them find resolutions  
• Processed emails and constituent directory system  
• Researched local events to share with constituents","Microsoft (Word, PowerPoint, Excel), Federal Reserve Economic Database (FRED)",,,,,,
Philadelphia,20-May,"Marketing/Brand ambassador
Bicycle Transit/Indego -  Philadelphia, PA
January 2019 to Present
• Advertise and promote the company Brand at Different events held in the city  
• Work with the City of Philadelphia and their department of community outreach  
• Set up and break down equipment used at the events  
• Keep record of numbers of interactions and consumer reviews as data","Custom Brokerage Rater/ data Entry
UPS -  Philadelphia, PA
May 2018 to June 2019
• Responsible for rating & classifying commodities entering the United States using the Harmonized Tariff Schedule of the U.S.  
• Ensure compliance with Customs and Border Protection's guidelines","Driver
Philadelphia International Airport
June 2017 to May 2018
• Coordinate flight schedules with management  
• Transport pilots and flight crew to their destination","Microsoft Office, Minitab, Keynote, SQL, Unreal (Beginner), Spanish (Intermediate), Mandarin (Basic)",,Driver's License,,,,
Philadelphia,20-Jun,"HR Communications Intern
Comcast NBCUniversal -  New York, NY
April 2019 to September 2019
• Drafted communication deliverables and proposals on a project to project basis as well as weekly for articles on the company intranet  
• Planned and marketed an event with over 75 attendees for Co-ops and Interns to learn about various company-wide career resources as part of the annually hosted Career Week  
• Managed, scripted, and scheduled executive leadership as panelist participants for a live-broadcasted internal employee TV Segment","Brand Ambassador
Nima -  Philadelphia, PA
April 2019 to June 2019
• Created blog and social media content including infographics & article content  
• Researched gluten free food trends for monthly content","Executive Board Secretary & Academic Chair
Kappa Phi Gamma Sorority, Inc -  Philadelphia, PA
May 2018 to May 2019
• Recorded minutes at General Body Meetings as well as send weekly communications to all members of chapter  
• Searched for academic resources, help centers, and tutoring for sisters seeking to improve their grades","Software: Microsoft Suite, Adobe Photoshop, Workday, Sitecore, Learning Management Systems, Canva, and WebEx 
Programming Languages: HTML, CSS, JavaScript
Event Planning
Event Marketing",,,,,,
Philadelphia,19-Dec,"Product Development Intern
Pop! Promotions -  Philadelphia, PA
August 2019 to Present
Complete market research presentations for future products.  
● Organize all product samples in distribution center.","Brand Development Intern
Palm Bay International -  Port Washington, NY
June 2019 to August 2019
Worked closely with brand managers to ensure brand needs are met throughout each  
project.  
● Contacted third parties to secure sponsorship opportunities to increase digital footprint.  
● Administrative tasks as needed.","Student Marketing Consultant and Team Leader
Casa Papel -  Philadelphia, PA
January 2019 to May 2019
Led a team of 4 people throughout the duration of the project.  
● Strategized, presented, and implemented a social media marketing strategy for a small  
business using a small budget.  
● Researched competitors and industry leaders for competitive analysis.  
● Worked closely with CEO to ensure company goals were met.","Public Speaking, Python, C++ Microsoft Office Word, Excel, Powerpoint, CSS, HTML, Instagram, Facebook, WhatsApp, Twitter, Lexis-Nexis, Filing, Organizational Skills",,,,,,
Philadelphia,19-May,"MARKETING MANAGER
STEAK AND HOAGIE
November 2018 to Present
PHILADELPHIA, PA  
• Independently assigned projects, managed time, and tracked task completion  
• Collaborated with management to create content and unify online presences  
• Actively checked insights on activity and budget while providing reports as needed","WEB DESIGNER/DEVELOPER
RAMCPAPC -  Elkins Park, PA
February 2018 to Present
• Redesigned and digitized colorless logo from pamphlet  
• Utilized AWS to host and manage a server and DNS  
• Managed the website and SEO through WordPress a content management system  
• Designed the website with a mix of PHP, HTML, and CSS","STUDENT AMBASSADOR
CHESTNUT HILL COLLEGE ADMISSIONS
October 2015 to May 2019
• Handled and entered incoming sensitive student information into database  
• Provided prospective groups and students tours  
• Managed and maintained professional image of the office while answering the college's main phone line  
• Trained students for office duties, tours, events, mailings, and data entry","Accounting, Leadership skills, Problem-solving, Accounts Payable, Bookkeeping, Excel, Quickbooks, Time Management, Strategic thinker, Technical abilities",,,,,,
Philadelphia,19-Aug,"Agile Project Manager
Workarea Commerce -  Philadelphia, PA
September 2018 to Present
• Organize multi-disciplinary and remote developer resources in the maintenance of client’s eCommerce sites to satisfy monthly retainer hours  
• Facilitate agile development through the managing of project scope, conducting team capacity planning, and JIRA ticket creation and organization in agile boards  
• Lead client-deliverable meetings and scrum ceremonies including weekly backlog grooming, sprint planning, and sprint retrospective meetings  
• Document and communicate project developments as project status reports for clients and internal stakeholders","Treasurer
WKDU 91.7 FM -  Philadelphia, PA
August 2018 to August 2019
• Draft and submit an itemized funding request as a Drexel student organization totaling to nearly $20,000 in legal, operational, maintenance, event expenditure   
• Drive external fundraising campaigns through developing fundraising events and on-air radio fundraising drives  
• Manage the finances of the station in its entirety, including making purchasing decisions, managing and promoting donations, and maintaining the online merchandise store","Station Manager
WKDU 91.7 FM -  Philadelphia, PA
August 2018 to August 2019
• Maintain WKDU's accordance to FCC legal policy in quarterly recording the public file","Microsoft (Word, PowerPoint, Excel), Federal Reserve Economic Database (FRED)",,,,,,
Philadelphia,19-Dec,"Ticket Operations and Fan Services Intern
Philadelphia Eagles, LLC -  Philadelphia, PA
May 2019 to Present
• Performed account changes and updates, completed ticket request and parking, as well as manage accounts via the Archtics ticketing system. Worked with financial manager to organize incoming payments. Manage and create reports and spreadsheets for departmental projects.  
• Answered and responded to all Fan Services related inquires. Including answering phone calls and email accounts. Assisted with data entry in ABI Mastermind for event scheduling. Plus, troubleshooting any STM Account Manager issues.","Head Student-Manager
Temple University Men's Basketball -  Philadelphia, PA
January 2016 to Present
• Duties include handling of game tape for our team and scouting opposing teams, manage Temple's summer basketball camps, as well as being active in practice  
• Practice duties: operation of the scoreboard, team's statistician, and maintenance of the playing court. Game duties: administering the distribution of players and coaches game tickets, handling of game film, and the maintenance of the playing surface during competition","Ticket Sales Intern
Temple University Athletics -  Philadelphia, PA
July 2018 to September 2018
• Tasks included the selling of Temple University Athletics tickets for the men's basketball, women's basketball, and football team. Alongside season tickets, other products advertised were club packages and group tickets.  
• The position provided exposure to front office operations and general marketing operations for Temple Athletics. Including the process of cold calling potential consumers of the Temple athletic program.","Microsoft Office, Minitab, Keynote, SQL, Unreal (Beginner), Spanish (Intermediate), Mandarin (Basic)",,,,,,
Philadelphia,19-May,"Hostess, Food Runner & Server
El Rey -  Philadelphia, PA
May 2018 to Present
Managed reservation book and seating chart for Steven Starr restaurant. Greeted guests and maintained a high standard of customer service. As food runner, delivered food to correct tables and expedited orders in kitchen. As server, duties include familiarizing guests with menu and daily specials, accurately recording food and drink orders, running multi-course meals, and securing payment.","Chair, Recruitment & Internal Events
Epsilon Eta University of Pennsylvania Chapter
September 2016 to Present
Sustainability interest fraternity; recruited class of 23 members, coordinated social events for 60 active members.","Marketing Board Member
OwnIt UPenn
September 2016 to Present
Developed logo, program booklet, and flyers. Helped design social media campaigns to publicize women's  
leadership summit. Implemented day-of logistics for attendees and speakers.","Microsoft (Word, PowerPoint, Excel), Federal Reserve Economic Database (FRED)",,,,,,
Philadelphia,20-May,"Communication Executive
Accounting Society
September 2019 to Present
U10-U13 Futsal Couch Winter 2018","Treasurer and Events Coordinator
National Society of Leadership and Success
September 2017 to Present","Women's Soccer Team, Member
PhilaU + TJU
September 2016 to Present","Microsoft Office, Minitab, Keynote, SQL, Unreal (Beginner), Spanish (Intermediate), Mandarin (Basic)",,,,,,"Member
DECA
September 2014 to Present
Software:  
• Microsoft applications: PowerPoint, Word, Excel, WIX"
Philadelphia,20-May,"Swim Instructor
YMCA -  Philadelphia, PA
May 2019 to Present
Teaching and scheduling group and private child/adult swim classes","Digital Marketing Specialist
La Salle University -  Philadelphia, PA
April 2017 to October 2018
Director Of Digital Marketing For On Campus University Housing","Marketing Rep
MarketSource -  Philadelphia, PA
March 2017 to June 2018
Managing new product and content releases. Planing and negotiating media buys, including TV, Radio, print and digital. Participating in various incentive programs and contests designed to support achievement of production goals.","Excel & STATA (Pivot Tables, Vlookup, OLS Regression), PowerPoint, Word, Python, Public Speaking",,driver's license,,,,"Phi Beta Sigma Fraternity Inc.
April 2015 to Present
I am Currently the Vice President of the Mu Upsilon chapter here at La Salle University
African American Student Leage
April 2015 to September 2017
I started as a Class Rep but worked my way up throughout College
Enactus
September 2014 to Present
I worked as a Marketing Director on project groups, helping build small businesses in communities and creating things that promote life sustainability
Fronteers
November 2018 to Present
Philadelphia Based Community Service and Youth Monitorship Group"
Philadelphia,19-Dec,"Financial Aid Counselor II
Temple University - Beasley School of Law -  Philadelphia, PA
May 2016 to Present
• Determines and processes Title IV and Institutional financial aid eligibility for a population of 800+ students   
• Supervises Office Manager to ensure SFWS timesheets are received and processed according to compliance guidelines  
• Coordinates with Senior Application Dev to improve SFWS website navigation and functionality  
• Collaborates with Admissions and Student Services for Info Sessions, Open Houses, and Orientations","Digital Marketing Consultant
Fruitloops Podcast -  Arizona (Remote)
January 2019 to May 2019
• As part of a course project, I collaborated with the creators of the podcast to develop a digital marketing strategy aimed at enhancing brand awareness via targeted promotion strategies  
• Advised on inbound marketing practices such as social media, email marketing, digital, SEO and Adwords  
• Podcast received 2,000+ downloads in a 2-day period in March 2019  due to strategic social media use","FInancial Literacy Counselor / Social Media Manager
Temple University -  Philadelphia, PA
January 2014 to May 2016
• Implemented social media use as an alternative communication method  to reach students and parents and trained staff on social media best practices  
• Obtained over 900+ organic followers across all platforms over a 2-year period  
• Oversaw the creation of daily content for social media pages and digital signage  
• Performed public relations functions via social media and presented at  events on & off campus","Proficient in Microsoft Office Suite, financial modeling, and CapIQ research",,"Google Analytics - Beginners
August 2018 to August 2021",,,,"Alpha Mu Alpha (National Marketing Honorary Society)
December 2019 to Present"
Milwaukee,19-May,"HEAD INFORMATION SYSTEMS INTERN
MILWAUKEE BUCKS -  Milwaukee, WI
May 2018 to August 2018
• Setup the Administration offices in the Fiserv Forum. Mapped the phone network within the stadium 
• Project including the evaluation and recommendation of new network system  
• Developed MS PowerShell scripts to update and company database","INFORMATION SYSTEMS INTERN
CATHOLIC FINANCIAL LIFE -  Milwaukee, WI
September 2015 to August 2016
• Lead a project to upgrade the computers of over 100 employee's  
• Developed PowerShell scripts to update database, Created PDQ deploy packages to ease the transition  
to new computers  
• Deployed a new phone system to all company employees",,"Proficient in Microsoft Office Suite, Salesforce, Facebook Ad Manager, Twitter, Pinterest, Simmons, Mintel, Nielsen Ad Intel",,,,,,
Milwaukee,19-May,"HEAD INFORMATION SYSTEMS INTERN
MILWAUKEE BUCKS -  Milwaukee, WI
May 2018 to August 2018
• Setup the Administration offices in the Fiserv Forum. Mapped the phone network within the stadium 
• Project including the evaluation and recommendation of new network system  
• Developed MS PowerShell scripts to update and company database","INFORMATION SYSTEMS INTERN
CATHOLIC FINANCIAL LIFE -  Milwaukee, WI
September 2015 to August 2016
• Lead a project to upgrade the computers of over 100 employee's  
• Developed PowerShell scripts to update database, Created PDQ deploy packages to ease the transition  
to new computers  
• Deployed a new phone system to all company employees",,"Accounting, Leadership skills, Problem-solving, Accounts Payable, Bookkeeping, Excel, Quickbooks, Time Management, Strategic thinker, Technical abilities",,,,,,
Pittsburgh,20-May,"Real-estate Intern
Mon Valley Alliance -  Monongahela, PA
June 2019 to August 2019
• Prepared Financial Analysis of rental property to be sent to potential tenants.  
• Created excel data spreadsheets of the industries and within the three owned industrial parks.  
• Designed marketing piece for mini grants/loans to be sent to the general public.  
• Assisted in revising and completing a re-application for a Regional Enterprise Zone.","Information Systems and Technology Intern
CONSOL Energy -  Canonsburg, PA
June 2018 to August 2018
• Configured and prepared images to be set on several pc's to be supplied for company employees.  
• Installed and updated compatible software for client in preparation for the launch of the new oracle ERP system.  
• Drafted technical instructions and documentation for the IT department.","Manager's Assistant
Golden Wok Restaurant -  Waynesburg, PA
March 2014 to May 2017
• Overlooks all operation to ensure that all employees comply with company policies  
• Provide all aspects of customer service and assisted guests with menu choices in an influential manner  
• Translate business documents from English to Chinese","Socialize, Fast Learner, Keeping Customers Happy, Cashiering, Customer Service, Cash Handling, Management Experience, Microsoft Office Suite, Adobe Premiere Pro, Adobe Photoshop, Filemaker, Google Suite",,,,,,
Philadelphia,19-Aug,"Business Analyst
CRF Health and Bracket -  Plymouth Meeting, PA
2017 to 2019
Application Specialist  
• Performed requirements gathering and business analysis tasks for eCOA (electronic Clinical Outcomes Assessments) collection, reporting, and data transfer  
• Developed eCOA solutions using proprietary software, according to requirements gathered for client clinical protocol and ensured user stories matched business requirements  
• Presented eCOA solutions at client design meetings and User Acceptance Testing meetings  
• Ensured that the Project Team maintained a high-quality service and on-time delivery, guaranteed thorough unit testing and integration testing  
• Supported development and reviewed and approved project documentation throughout the Project Lifecycle, ensuring that documentation was complete and of high quality","Business Analyst
Freedom Systems -  Norristown, PA
2006 to 2017
Software Implementation Support and Training  
• Provided software customer support of municipal enterprise (ERP) applications to over 200 customers including requirements gathering, analysis, specifications writing, business process design, test plans creation, software testing, prototyping, and software implementation with customization of reports  
• Project Coordination - led planning meetings, analysis, development, test inspections, and other project meetings throughout software development life cycle. Created specifications and action items to follow up on  
• Collaborate with internal teams to deliver high quality software  
• Expanded business by recommending that standard products also be offered on a subscription basis as Software as a Service (SaaS), making it affordable to smaller municipalities, and opening up a previously untapped market  
• Conducted web and on-site training delivery  
• Developed software documentation and training guides that decreased customer call volume by 80% and call times by 70%","Business Analyst
Computer Aid, Inc -  Allentown, PA
2002 to 2003
Consultant  
• Performed analysis and programming on large educational testing project as temporary supplemental staff  
• Enhanced a recently developed client intranet and gathered and articulated requirements with detailed design specifications","Microsoft Word, Microsoft Excel, Microsoft PowerPoint, Microsoft Publisher, Adobe, Ableton Live, Google AdWords, Google Analytics",,,,,,
Philadelphia,20-May,"Information Systems Intern
Delaware Valley Community Health, Inc -  Philadelphia, PA
May 2019 to August 2019
Performed an upgrade of the organization's software and database suite in a team of seven over the course  
of one weekend.  
• Participated in committee meetings regularly to discuss both departmental and organization-wide goals  
and needs, including projects across separate knowledge domains.  
• Embraced learning about virtual environments which the IS department used almost exclusively to create  
and manage servers dedicated to certain purposes.  
• Solved issues daily from an IT standpoint including responding to support tickets and interacting on-site  
with health center employees and managers to solve software and hardware issues.","Farm Hand
Blueberry Bill's -  Hammonton, NJ
June 2017 to August 2018
(Worked two summers, June - August)  
  
• Ensured boxes of blueberries were stacked correctly 4 x 3 x 12 on palettes to be directly sold by the farm.  
• Produced quality blueberry pints by working with a team of farm hands to properly sort and store berries.  
• Communicated with local customers and carried their boxes to their cars, providing customer service for the farm.","Math Tutor
Arechevala Family -  Philadelphia, PA
October 2017 to June 2018
• Taught a local high school freshman fundamental concepts in Algebra I.  
• Contributed directly to the improvement of her math grade from a D to a B.  
• Provided knowledge valuable to foster her own ability to think mathematically and solve problems.","Understanding of SQL, Basic Microsoft Access skills, Google AdWords and Analytics, Facebook Advertising, Adobe Creative Suite, FL Studio 20",,,,,,
New York City,19-Dec,"College Assistant
CUNY, CAREER & PROFESSIONAL DEVELOPMENT INSTITUTE -  New York, NY
September 2017 to June 2018
Supported Career department's brand and social media content as a student ambassador.  
Key Accomplishments:  
* Networked Facebook, Instagram, LinkedIn, and CampusGroup as lead administrator; increased student engagement and awareness of CUNY's career and professional services reaching thousands of visitors and users per month.  
* Designed and distributed surveys and flyers for career-related events; managed flyer distribution schedule.  
* Managed copy and tracked click rates for hundreds of daily job postings to content management system (CMS); shared relevant opportunities with students across several social channels.  
* Handeled communications and conducted in-house interviews for employment program clients; secured approx. 15 new employers for recruitment program over the span of nearly one year.","Information Systems Technician
US NAVY
November 2013 to December 2014
Responded to network and device trouble calls and managed equipment warehouse inventory for oldest continuously running hospital in the Navy medical system.  
Key Accomplishments:  
* Maintained hospital's networks and more than 2,300 user accounts; recognized by senior management for exceptional communication skills and escalation resolution.  
* Implemented new organization method creating greater workflow efficiency; trained and onboarded hundreds of new and current sailors as the lead education program liaison.","System Administrator, Information Systems Technician (IT)
US NAVY
July 2012 to November 2013
Manage and maintain communication networks, message traffic, and user database to support ship crew of approx. 300.  
Key Accomplishments:  
* Awarded for quick deployment of 126 new operating systems in four days.  
* Improved organization and productivity with creation and initiation of new operation manuals and training.","Adobe Photoshop Google Analytics, Adobe Illustrator Microsoft Excel, Adobe InDesign Videography, Adobe Premiere Pro Campaigns, Adobe Lightroom MailChimp, Canon EOS Rebel T5i Hubspot",,,,,,
New York City,20-May,"Corporate Systems Intern
UNIVISION COMMUNICATIONS INC -  Teaneck, NJ
June 2019 to August 2019
• Executed SQL scripts on Oracle SQL Developer to updated and maintain tables.  
• Updating tickets weekly and creating Excel sheet reports on ServiceNow.  
• Served on a team in charge of creating and testing a new platform to maintain company invoices.  
• Selected to serve on a 4-intern team to create a presentation to demonstrate a comparison between two demographics based on different criteria's.","Cashier
VICTORIAN GARDENS AMUSEMENT PARK -  New York, NY
May 2018 to October 2018
• Counted money in the cash drawers in the beginning and end of shifts to ensure the correct amount is in place.  
• Handled cash and credit transactions.  
• Answered customers 'questions, guided them and provided any relevant information.  
• Resolved any customer complaints in an orderly fashion.","Information Security Officer Intern
Cyber security Workforce Alliance -  New York, NY
January 2018 to May 2018
• Selected to serve on a 5-student team mentored by industry professionals to develop a threat prevention guide for the financial sector.  
• Led the team to meet deadlines and exceed expectations for projects every week.  
• Co-presented strategies to professionals about Cyber security","Microsoft Word, Microsoft Excel, Microsoft PowerPoint, Microsoft Publisher, Adobe, Ableton Live, Google AdWords, Google Analytics",,,,,,
